sor_id;navn;type;sygehus;shak;vej;postnr;by;region
485051000016000;(Lukket) Klinik for Lungesygdomme og Medicinsk Diagnostik;Afdeling;Hospitalsenhed Midt;663030F;Falkevej 1A;8600;Silkeborg;Midtjylland
485071000016007;(Lukket)Klinik for Gigt- og Bindevævssygdomme (Lukket);Afdeling;Hospitalsenhed Midt;663030H;Falkevej 1A;8600;Silkeborg;Midtjylland
485081000016009;(Lukket)Klinik for Ældresygdomme Silkeborg (Lukket);Afdeling;Hospitalsenhed Midt;663030I;Falkevej 1A;8600;Silkeborg;Midtjylland
485091000016006;(Lukket)Medicinsk Tværfaglig Klinik Silkeborg (Lukket);Afdeling;Hospitalsenhed Midt;663030J;Falkevej 1A;8600;Silkeborg;Midtjylland
485111000016003;Ortopædkirurgisk Afsnit Silkeborg;Afdeling;Hospitalsenhed Midt;6630321;Falkevej 3;8600;Silkeborg;Midtjylland
485121000016007;Ortopædkirurgisk Klinik Silkeborg;Afdeling;Hospitalsenhed Midt;6630329;Falkevej 1A;8600;Silkeborg;Midtjylland
485131000016009;Friklinik Silkeborg;Afdeling;Hospitalsenhed Midt;663032F;Falkevej 1A;8600;Silkeborg;Midtjylland
485151000016004;Operation og Bedøvelse Silkeborg;Afdeling;Hospitalsenhed Midt;6630331;Falkevej 1A;8600;Silkeborg;Midtjylland
485161000016001;Neurointensiv Rehabilitering – HEM;Afdeling;Hospitalsenhed Midt;6630332;Falkevej 3;8600;Silkeborg;Midtjylland
485171000016006;Dagkirurgi Silkeborg;Afdeling;Hospitalsenhed Midt;6630336;Falkevej 1A;8600;Silkeborg;Midtjylland
485181000016008;Bedøvelsesklinik Silkeborg;Afdeling;Hospitalsenhed Midt;6630337;Falkevej 1A;8600;Silkeborg;Midtjylland
485211000016009;(Lukket) Røntgen og Skanning Silkeborg (Lukket);Afdeling;Hospitalsenhed Midt;6630399;Falkevej 1A;8600;Silkeborg;Midtjylland
485221000016000;Højtspecialiseret Neurorehabilitering;Afdeling;Hospitalsenhed Midt;6630401;Voldbyvej 15;8450;Hammel;Midtjylland
485241000016005;Regional og Højtspecialiseret Neurorehabilitering;Afdeling;Hospitalsenhed Midt;6630402;Voldbyvej 15;8450;Hammel;Midtjylland
485291000016002;Børn og Unge Neurorehabilitering;Afdeling;Hospitalsenhed Midt;6630404;Voldbyvej 15;8450;Hammel;Midtjylland
485301000016003;Højtspecialiseret Neurorehabilitering Klinik - HEM;Afdeling;Hospitalsenhed Midt;6630409;Voldbyvej 15;8450;Hammel;Midtjylland
485311000016001;Fælles Regional Visitation - Neurorehabilitering Region Midt;Afdeling;Hospitalsenhed Midt;663040V;Voldbyvej 15;8450;Hammel;Midtjylland
485371000016009;Regional Rygklinik;Overafdeling;Hospitalsenhed Midt;663036;Falkevej 1A;8600;Silkeborg;Midtjylland
485431000016002;Kvindesygdomme og Fødsler;Overafdeling;Hospitalsenhed Midt;663003;Heibergs Alle 4F;8800;Viborg;Midtjylland
485441000016009;Kvindeklinikken Viborg;Afdeling;Hospitalsenhed Midt;6630039;Heibergs Alle 4F;8800;Viborg;Midtjylland
485451000016007;Blodprøver og Biokemi;Overafdeling;Hospitalsenhed Midt;663070;Banevejen 7C;8800;Viborg;Midtjylland
485461000016005;Blodprøver og Biokemi Silkeborg;Afdeling;Hospitalsenhed Midt;6630703;Falkevej 1A;8600;Silkeborg;Midtjylland
485471000016000;(Lukket) Klinik Diabetes,Knogle-og Hormonsygdomme Silkeborg;Afdeling;Hospitalsenhed Midt;663030C;Falkevej 1A;8600;Silkeborg;Midtjylland
485491000016001;Regional Rygklinik Fællesvisitation;Afdeling;Hospitalsenhed Midt;6630369;Falkevej 1A;8600;Silkeborg;Midtjylland
485501000016005;Medicinsk Rygklinik Silkeborg;Afdeling;Hospitalsenhed Midt;663036A;Falkevej 1A;8600;Silkeborg;Midtjylland
485511000016007;Ortopædkirurgisk Rygklinik Silkeborg;Afdeling;Hospitalsenhed Midt;663036B;Falkevej 1A;8600;Silkeborg;Midtjylland
485531000016001;Ortopædkir. Sår Amb., KOE;Afsnit;Region Sjællands Sygehusvæsen;;Lykkebækvej 1;4600;Køge;Sjælland
485561000016009;Akut Afd. Amb., SLA;Afsnit;Region Sjællands Sygehusvæsen;;Ingemannsvej 50;4200;Slagelse;Sjælland
485821000016001;OUH Palliativt Amb. (Odense);Afsnit;Odense Universitetshospital - Svendborg;;Kløvervænget 6;5000;Odense C;Syddanmark
485881000016000;SLB Børneafdeling Forskning (Kolding);Afdeling;Sygehus Lillebælt;6007115;Sygehusvej 24;6000;Kolding;Syddanmark
486161000016006;Hospice Sydfyn;Hospital;Hospice Sydfyn;4280;Skovsbovej 100;5700;Svendborg;Syddanmark
486171000016001;Hospice Sydfyn, afdeling;Overafdeling;Hospice Sydfyn;428001;Skovsbovej 100;5700;Svendborg;Syddanmark
486181000016004;Hospice Sydfyn, beh.afsnit;Afdeling;Hospice Sydfyn;4280010;Skovsbovej 100;5700;Svendborg;Syddanmark
486331000016000;OUH Fælles AkutModtagelse (Svendborg);Overafdeling;Odense Universitetshospital - Svendborg;420277;Baagøes Alle 15;5700;Svendborg;Syddanmark
486351000016005;OUH FAM Afsnit (Svendborg);Afdeling;Odense Universitetshospital - Svendborg;4202770;Baagøes Alle 15;5700;Svendborg;Syddanmark
486371000016003;OUH FAM Afs. (Svendborg);Afsnit;Odense Universitetshospital - Svendborg;;Baagøes Alle 15;5700;Svendborg;Syddanmark
486471000016007;OUH Klinisk Biokemisk Afdeling (Svendborg);Overafdeling;Odense Universitetshospital - Svendborg;420274;Baagøes Alle 15;5700;Svendborg;Syddanmark
486481000016009;OUH Medicinsk Afdeling M (Svendborg);Overafdeling;Odense Universitetshospital - Svendborg;420273;Baagøes Alle 15;5700;Svendborg;Syddanmark
486491000016006;OUH Medicinsk Ambulatorium M (Svendborg);Afdeling;Odense Universitetshospital - Svendborg;4202739;Baagøes Alle 15;5700;Svendborg;Syddanmark
486501000016002;OUH Medicinsk Afsnit M (Svendborg);Afdeling;Odense Universitetshospital - Svendborg;4202730;Baagøes Alle 15;5700;Svendborg;Syddanmark
486541000016004;OUH Medicinsk Amb. (Svendborg);Afsnit;Odense Universitetshospital - Svendborg;;Valdemarsgade 51C;5700;Svendborg;Syddanmark
486561000016003;OUH Medicinsk Amb. Reuma (Svendborg);Afsnit;Odense Universitetshospital - Svendborg;;Valdemarsgade 51C;5700;Svendborg;Syddanmark
486581000016005;OUH Medicinsk Amb. Kardio (Svendborg);Afsnit;Odense Universitetshospital - Svendborg;;Baagøes Alle 15;5700;Svendborg;Syddanmark
486601000016003;OUH Medicinsk Amb. Lunge (Svendborg);Afsnit;Odense Universitetshospital - Svendborg;;Baagøes Alle 15;5700;Svendborg;Syddanmark
486611000016001;OUH Medicinsk Amb. (Nyborg);Afsnit;Odense Universitetshospital - Svendborg;;Vestergade 17;5800;Nyborg;Syddanmark
486671000016009;OUH Medicinsk Afs. MHL (Svendborg);Afsnit;Odense Universitetshospital - Svendborg;;Baagøes Alle 31;5700;Svendborg;Syddanmark
486731000016004;Dialyseafsnit Hvidovre B-HVH350;Afsnit;Herlev og Gentofte Hospital;;Nordre Hospitalsvej 13;2650;Hvidovre;Hovedstaden
486811000016002;Thy Akutmodtagelsen;Overafdeling;Aalborg Universitetshospital, Thisted;760346;Højtoftevej 2;7700;Thisted;Nordjylland
486831000016008;Thy Skadestue;Afdeling;Aalborg Universitetshospital, Thisted;7603468;Højtoftevej 2;7700;Thisted;Nordjylland
486841000016001;Thy Skadestueafsnit;Afsnit;Aalborg Universitetshospital, Thisted;;Højtoftevej 2;7700;Thisted;Nordjylland
486861000016000;Thy Akut Modtageafdeling;Afdeling;Aalborg Universitetshospital, Thisted;7603461;Højtoftevej 2;7700;Thisted;Nordjylland
487071000016003;OUH Geriatrisk Afdeling G (Svendborg);Overafdeling;Odense Universitetshospital - Svendborg;420271;Baagøes Alle 15;5700;Svendborg;Syddanmark
487081000016001;OUH Geriatrisk Ambulatorium G (Svendborg);Afdeling;Odense Universitetshospital - Svendborg;4202719;Baagøes Alle 15;5700;Svendborg;Syddanmark
487091000016004;OUH Geriatrisk Afsnit G (Svendborg);Afdeling;Odense Universitetshospital - Svendborg;4202710;Baagøes Alle 15;5700;Svendborg;Syddanmark
487101000016005;OUH Geriatrisk Amb. (Svendborg);Afsnit;Odense Universitetshospital - Svendborg;;Baagøes Alle 15;5700;Svendborg;Syddanmark
487121000016003;OUH Geriatrisk Afs. G1 (Svendborg);Afsnit;Odense Universitetshospital - Svendborg;;Baagøes Alle 31;5700;Svendborg;Syddanmark
487131000016001;OUH Geriatrisk Afs. G2 (Svendborg);Afsnit;Odense Universitetshospital - Svendborg;;Baagøes Alle 31;5700;Svendborg;Syddanmark
487141000016008;OUH Anæstesi-Intensiv Afdeling SV (Svendborg);Overafdeling;Odense Universitetshospital - Svendborg;420279;Baagøes Alle 15;5700;Svendborg;Syddanmark
487181000016002;OUH Anæstesi-Intensiv Ambulatorium (Svendborg);Afdeling;Odense Universitetshospital - Svendborg;4202799;Baagøes Alle 15;5700;Svendborg;Syddanmark
487191000016000;OUH Intensiv Afsnit (Svendborg);Afdeling;Odense Universitetshospital - Svendborg;4202790;Baagøes Alle 15;5700;Svendborg;Syddanmark
487211000016001;OUH Medicinsk Afdeling (Ærø);Overafdeling;Odense Universitetshospital - Svendborg;420278;Sygehusvejen 18;5970;Ærøskøbing;Syddanmark
487221000016005;OUH Medicinsk Ambulatorium (Ærø);Afdeling;Odense Universitetshospital - Svendborg;4202789;Sygehusvejen 18;5970;Ærøskøbing;Syddanmark
487231000016007;OUH Medicinsk Afsnit (Ærø);Afdeling;Odense Universitetshospital - Svendborg;4202780;Sygehusvejen 18;5970;Ærøskøbing;Syddanmark
487241000016000;OUH Ortopædkirurgisk Amb. (Svendborg);Afsnit;Odense Universitetshospital - Svendborg;;Baagøes Alle 15;5700;Svendborg;Syddanmark
487261000016004;OUH Ortopædkirurgisk Afs. O1 (Svendborg);Afsnit;Odense Universitetshospital - Svendborg;;Baagøes Alle 15;5700;Svendborg;Syddanmark
487271000016009;OUH Øre-Næse-Hals Amb. (Odense);Afsnit;Odense Universitetshospital - Svendborg;;J.B. Winsløws Vej 4;5000;Odense C;Syddanmark
487281000016006;OUH Øre-Næse-Hals Amb. (Svendborg);Afsnit;Odense Universitetshospital - Svendborg;;Baagøes Alle 15;5700;Svendborg;Syddanmark
487531000016009;OUH Anæstesi-Intensiv Amb. (Svendborg);Afsnit;Odense Universitetshospital - Svendborg;;Baagøes Alle 15;5700;Svendborg;Syddanmark
487541000016002;OUH Intensiv Afs. (Svendborg);Afsnit;Odense Universitetshospital - Svendborg;;Baagøes Alle 15;5700;Svendborg;Syddanmark
487571000016006;OUH Medicinsk Afs. Æ1 (Ærø);Afsnit;Odense Universitetshospital - Svendborg;;Sygehusvejen 18;5970;Ærøskøbing;Syddanmark
487581000016008;OUH Medicinsk Amb. Æ (Ærø);Afsnit;Odense Universitetshospital - Svendborg;;Sygehusvejen 18;5970;Ærøskøbing;Syddanmark
487701000016006;OUH Klinisk Biokemisk Ambulatorium (Svendborg);Afdeling;Odense Universitetshospital - Svendborg;4202740;Baagøes Alle 15;5700;Svendborg;Syddanmark
487711000016008;OUH Klinisk Biokemisk Amb. (Svendborg);Afsnit;Odense Universitetshospital - Svendborg;;Baagøes Alle 15;5700;Svendborg;Syddanmark
487721000016004;OUH Klinisk Biokemisk Ambulatorium (Ærø);Afdeling;Odense Universitetshospital - Svendborg;4202747;Sygehusvejen 18;5970;Ærøskøbing;Syddanmark
487731000016002;OUH Klinisk Biokemisk Ambulatorium (Nyborg);Afdeling;Odense Universitetshospital - Svendborg;4202746;Vestergade 17;5800;Nyborg;Syddanmark
487741000016009;OUH Kirurgisk Amb. (Nyborg);Afsnit;Odense Universitetshospital - Svendborg;;Vestergade 17;5800;Nyborg;Syddanmark
487751000016007;OUH Kirurgisk Amb. (Svendborg);Afsnit;Odense Universitetshospital - Svendborg;;Baagøes Alle 15;5700;Svendborg;Syddanmark
487761000016005;OUH Kirurgisk Amb. 1 (Odense);Afsnit;Odense Universitetshospital - Svendborg;;Kløvervænget 47;5000;Odense C;Syddanmark
487771000016000;OUH Kirurgisk Afs. A4 (Svendborg);Afsnit;Odense Universitetshospital - Svendborg;;Baagøes Alle 31;5700;Svendborg;Syddanmark
487791000016001;OUH Almen Gyn. Amb. (Svendborg);Afsnit;Odense Universitetshospital - Svendborg;;Baagøes Alle 15;5700;Svendborg;Syddanmark
